City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
186,Visby,SE,69.06,clear sky,57.6409,18.296,Best Western Solhem Hotel Visby
188,Vaitape,PF,76.03,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
189,Namibe,AO,65.03,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
190,Poplar Bluff,US,78.69,light rain,36.757,-90.3929,Holiday Inn Poplar Bluff
191,Ondjiva,AO,79.27,clear sky,-17.0667,15.7333,COMBUESA
193,Waingapu,ID,73.49,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
194,Dunstable,GB,87.89,overcast clouds,51.886,-0.521,Premier Inn Dunstable / Luton hotel
195,Cayenne,GF,87.84,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
196,Salinopolis,BR,85.68,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
197,Bathsheba,BB,85.05,scattered clouds,13.2167,-59.5167,Atlantis Hotel
198,Verbivka,UA,68.43,broken clouds,49.4167,35.5333,
199,Gorontalo,ID,75.02,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
200,Dubreka,GN,83.35,moderate rain,9.7911,-13.5233,Hôtel le Semeur Chez Eva
201,San Francisco,US,66.45,few clouds,37.7749,-122.4194,Edwardian Hotel
202,Hamilton,US,74.03,moderate rain,39.1834,-84.5333,Six Acres Bed & Breakfast
203,Altamont,US,63.79,clear sky,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
204,Nizwa,OM,85.42,overcast clouds,22.9333,57.5333,Orient Apartments
205,Samarai,PG,78.91,scattered clouds,-10.6167,150.6667,Nuli Sapi
206,San Patricio,US,87.89,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
207,Usevya,TZ,81.18,scattered clouds,-7.1,31.2333,
209,Saint-Philippe,RE,69.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
211,Sinnamary,GF,81.25,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
212,La Ronge,CA,71.82,smoke,55.1001,-105.2842,Northland Motor Hotel
213,Honiara,SB,76.32,broken clouds,-9.4333,159.95,Heritage Park Hotel
215,Butaritari,KI,82.17,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
216,Sainte-Thecle,CA,75.25,few clouds,46.8168,-72.4991,Camping Lac et Forêt
221,Lagoa,PT,70.21,few clouds,39.05,-27.9833,Casa Das Faias
224,Spilimbergo,IT,92.8,clear sky,46.1125,12.8969,Grand Hotel President
225,Beloha,MG,69.51,scattered clouds,-25.1667,45.05,
227,Berbera,SO,92.28,scattered clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
234,Olinda,BR,78.53,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
235,San Jose,US,69.82,few clouds,37.3394,-121.895,The Westin San Jose
237,Inirida,CO,86.85,scattered clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
238,Longhua,CN,79.9,overcast clouds,23.6137,114.1919,Huadu Hotel
240,Coahuayana,MX,78.58,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
241,Mayumba,GA,74.7,broken clouds,-3.432,10.6554,LIKWALE LODGE
242,Labuhan,ID,78.84,light rain,-6.8844,112.2051,DoubleFAG
243,Bobrovytsya,UA,63.23,broken clouds,50.75,31.3833,"Готель ""Трубіж"""
248,Floriano,BR,94.1,broken clouds,-6.7669,-43.0225,Hotel Maktub
251,Garowe,SO,86.43,broken clouds,8.4054,48.4845,Curubo Hotel
254,Sao Filipe,CV,76.08,scattered clouds,14.8961,-24.4956,Hotel Xaguate
255,Avera,US,83.55,clear sky,33.194,-82.5271,
256,Samarkand,UZ,94.42,clear sky,39.6542,66.9597,Ideal Hotel
257,Dingle,PH,75.54,light rain,10.9995,122.6711,SEGAYA PROPERTY
258,Pasinler,TR,85.19,clear sky,39.9803,41.6764,Kır Evi (Dağa Yakın)
259,Bridlington,GB,87.73,overcast clouds,54.0831,-0.1919,Expanse Bridlington Seafront Hotel
260,Two Hills,CA,63.09,overcast clouds,53.7169,-111.7518,Junction Inn
261,Lohja,FI,62.44,overcast clouds,60.2486,24.0653,Koivulan Kartano
263,Dunmore Town,BS,83.01,overcast clouds,25.5,-76.65,Coral Sands Hotel
266,Longonjo,AO,79.88,broken clouds,-12.9067,15.2533,
267,Ekibastuz,KZ,73.35,scattered clouds,51.6667,75.3667,
268,Tocopilla,CL,65.07,clear sky,-22.092,-70.1979,Hotel Galvarino
269,Sibolga,ID,77.34,clear sky,1.7427,98.7792,Hotel Syariah CN Darussalam
270,Yekimovichi,RU,64.29,light rain,54.1129,33.2965,Отель Гранд
271,Totness,SR,84.76,clear sky,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
273,Sao Jose Da Coroa Grande,BR,79.23,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
276,Buala,SB,79.32,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
279,Manoel Urbano,BR,85.21,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
281,Sechura,PE,68.83,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
282,Bani Walid,LY,94.19,clear sky,31.7566,13.9942,منزل مفتاح محمد الزلبي
283,West Wendover,US,74.41,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
285,Cairns,AU,67.95,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
286,Bengkulu,ID,78.26,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
287,Alofi,NU,73.29,scattered clouds,-19.0595,-169.9187,Taloa Heights
288,Artvin,TR,69.28,broken clouds,41.1667,41.8333,Koru Butik Otel
289,Planaltina,BR,79.12,broken clouds,-15.4528,-47.6142,Afrodite Motel Planaltina GO
291,Sungaipenuh,ID,65.19,broken clouds,-2.0833,101.3833,Penginapan Citra Alam
292,Yar-Sale,RU,66.94,broken clouds,66.8333,70.8333,Yalemd
296,San Juan Bautista,PE,69.26,clear sky,-14.0108,-75.7358,Hotel Las Dunas
298,Progreso,MX,85.1,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
299,Port Blair,IN,81.84,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
302,Athens,GR,96.4,clear sky,37.9795,23.7162,Safestay Athens
303,Elko,US,68.02,clear sky,41.0002,-115.5012,
304,Hay River,CA,62.58,overcast clouds,60.8156,-115.7999,Ptarmigan Inn
305,Erenhot,CN,74.98,broken clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
308,Phetchabun,TH,79.81,few clouds,16.25,101.0833,วินธนา รีสอร์ท
309,Saint-Francois,FR,89.04,clear sky,46.4154,3.9054,Manoir Du Bonheur
310,Marion,US,75.7,mist,39.7684,-86.1555,Hilton Garden Inn Indianapolis Downtown
313,Sao Joao Da Barra,BR,84.29,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
316,Castlegar,CA,72.1,clear sky,49.2998,-117.6689,Surestay Hotel by Best Western Castlegar
318,San Andres,CO,84.22,few clouds,12.5847,-81.7006,Hotel Arena Blanca
