,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
155,Bukama,-9.2,25.85,88.45,20,60,6.11,CD,2022-07-17 14:38:58,broken clouds
156,Buritis,-15.6178,-46.4233,83.25,34,12,6.76,BR,2022-07-17 14:38:58,few clouds
157,Estelle,29.8458,-90.1067,88.0,67,75,1.99,US,2022-07-17 14:37:26,broken clouds
158,Uruzgan,32.8333,66.0,89.46,17,7,6.93,AF,2022-07-17 14:38:59,clear sky
159,Unai,-16.3575,-46.9061,83.41,32,37,5.73,BR,2022-07-17 14:38:59,scattered clouds
160,Wasilla,61.5814,-149.4394,57.06,90,100,6.91,US,2022-07-17 14:38:59,moderate rain
161,Saharsa,25.8833,86.6,92.35,53,61,13.69,IN,2022-07-17 14:39:00,broken clouds
162,Red Bluff,40.1785,-122.2358,77.72,33,0,5.75,US,2022-07-17 14:38:04,clear sky
163,Kajiado,-1.8524,36.7768,65.1,58,93,13.38,KE,2022-07-17 14:39:00,overcast clouds
164,Velikiy Ustyug,60.7644,46.3106,61.48,79,89,9.6,RU,2022-07-17 14:39:00,light rain
165,Victoria,22.2855,114.1577,88.32,80,100,13.0,HK,2022-07-17 14:38:21,overcast clouds
166,Paso De Los Toros,-32.8167,-56.5167,49.19,62,0,11.88,UY,2022-07-17 14:39:01,clear sky
167,Perambalur,11.2333,78.8833,81.01,77,100,12.1,IN,2022-07-17 14:39:01,overcast clouds
168,Berdigestyakh,62.0989,126.6992,70.29,84,68,4.68,RU,2022-07-17 14:35:43,broken clouds
169,Hirara,24.8,125.2833,84.72,88,99,19.55,JP,2022-07-17 14:39:02,overcast clouds
170,Markova,48.6758,24.4138,63.88,46,98,10.0,UA,2022-07-17 14:39:02,overcast clouds
171,Sitka,57.0531,-135.33,53.49,94,100,9.22,US,2022-07-17 14:35:19,moderate rain
172,Pacific Grove,36.6177,-121.9166,59.02,96,100,8.99,US,2022-07-17 14:35:39,mist
173,Nanortalik,60.1432,-45.2371,43.97,79,74,12.12,GL,2022-07-17 14:36:09,broken clouds
174,Berlevag,70.8578,29.0864,58.95,67,100,10.36,NO,2022-07-17 14:37:00,overcast clouds
175,Srednekolymsk,67.45,153.6833,40.51,54,0,5.84,RU,2022-07-17 14:39:03,clear sky
176,Muli,2.9167,73.5667,80.78,81,100,13.94,MV,2022-07-17 14:39:03,overcast clouds
177,Verkhnevilyuysk,63.4453,120.3167,62.17,98,100,3.51,RU,2022-07-17 14:39:03,overcast clouds
178,Belmonte,-15.8631,-38.8828,79.29,61,34,6.78,BR,2022-07-17 14:35:23,scattered clouds
179,Rehoboth,-23.3167,17.0833,71.85,16,3,8.23,NA,2022-07-17 14:39:04,clear sky
180,The Valley,18.217,-63.0578,86.83,70,40,18.41,AI,2022-07-17 14:39:04,scattered clouds
181,Matara,5.9485,80.5353,79.65,85,100,9.26,LK,2022-07-17 14:39:05,overcast clouds
182,Lima,-12.0432,-77.0282,61.9,80,100,3.44,PE,2022-07-17 14:39:05,overcast clouds
183,Takoradi,4.8845,-1.7554,77.67,74,80,11.59,GH,2022-07-17 14:39:05,broken clouds
184,Kinango,-4.1372,39.3153,75.85,61,39,12.03,KE,2022-07-17 14:39:06,scattered clouds
185,Hienghene,-20.6833,164.9333,68.23,79,64,9.78,NC,2022-07-17 14:39:06,broken clouds
186,Visby,57.6409,18.296,69.06,60,0,12.66,SE,2022-07-17 14:40:07,clear sky
187,Pangnirtung,66.1451,-65.7125,49.71,65,56,3.47,CA,2022-07-17 14:40:07,broken clouds
188,Vaitape,-16.5167,-151.75,76.03,74,73,18.34,PF,2022-07-17 14:40:07,light rain
189,Namibe,-15.1961,12.1522,65.03,82,100,11.5,AO,2022-07-17 14:38:31,overcast clouds
190,Poplar Bluff,36.757,-90.3929,78.69,86,75,1.01,US,2022-07-17 14:40:08,light rain
191,Ondjiva,-17.0667,15.7333,79.27,16,0,8.75,AO,2022-07-17 14:40:08,clear sky
192,Port Hardy,50.6996,-127.4199,53.78,94,75,4.61,CA,2022-07-17 14:40:09,broken clouds
193,Waingapu,-9.6567,120.2641,73.49,88,64,4.97,ID,2022-07-17 14:40:09,broken clouds
194,Dunstable,51.886,-0.521,87.89,23,100,8.05,GB,2022-07-17 14:40:09,overcast clouds
195,Cayenne,4.9333,-52.3333,87.84,6,100,8.05,GF,2022-07-17 14:40:10,overcast clouds
196,Salinopolis,-0.6136,-47.3561,85.68,65,43,7.72,BR,2022-07-17 14:40:10,scattered clouds
197,Bathsheba,13.2167,-59.5167,85.05,83,40,25.32,BB,2022-07-17 14:40:10,scattered clouds
198,Verbivka,49.4167,35.5333,68.43,62,68,8.55,UA,2022-07-17 14:40:11,broken clouds
199,Gorontalo,0.5412,123.0595,75.02,94,99,2.01,ID,2022-07-17 14:40:11,overcast clouds
200,Dubreka,9.7911,-13.5233,83.35,82,90,6.69,GN,2022-07-17 14:40:11,moderate rain
201,San Francisco,37.7749,-122.4194,66.45,91,20,11.5,US,2022-07-17 14:39:03,few clouds
202,Hamilton,39.1834,-84.5333,74.03,95,100,10.36,US,2022-07-17 14:35:32,moderate rain
203,Altamont,42.2068,-121.7372,63.79,78,0,1.01,US,2022-07-17 14:40:12,clear sky
204,Nizwa,22.9333,57.5333,85.42,59,100,5.75,OM,2022-07-17 14:40:12,overcast clouds
205,Samarai,-10.6167,150.6667,78.91,84,50,10.02,PG,2022-07-17 14:40:12,scattered clouds
206,San Patricio,28.017,-97.5169,87.89,57,66,8.48,US,2022-07-17 14:40:13,broken clouds
207,Usevya,-7.1,31.2333,81.18,32,40,6.67,TZ,2022-07-17 14:40:13,scattered clouds
208,Biskamzha,53.4497,89.5272,57.29,98,83,4.14,RU,2022-07-17 14:40:13,light rain
209,Saint-Philippe,-21.3585,55.7679,69.39,77,99,17.05,RE,2022-07-17 14:40:14,light rain
210,Chokurdakh,70.6333,147.9167,38.07,58,15,6.35,RU,2022-07-17 14:40:14,few clouds
211,Sinnamary,5.3833,-52.95,81.25,77,77,3.98,GF,2022-07-17 14:40:14,broken clouds
212,La Ronge,55.1001,-105.2842,71.82,64,40,6.91,CA,2022-07-17 14:40:15,smoke
213,Honiara,-9.4333,159.95,76.32,84,56,6.62,SB,2022-07-17 14:40:15,broken clouds
214,Okhotsk,59.3833,143.3,54.77,95,13,4.09,RU,2022-07-17 14:40:15,few clouds
215,Butaritari,3.0707,172.7902,82.17,71,100,9.62,KI,2022-07-17 14:40:16,overcast clouds
216,Sainte-Thecle,46.8168,-72.4991,75.25,61,12,2.91,CA,2022-07-17 14:40:16,few clouds
217,Doha,25.2867,51.5333,107.91,55,4,11.5,QA,2022-07-17 14:40:16,clear sky
218,Eureka,40.8021,-124.1637,58.68,86,4,2.82,US,2022-07-17 14:35:33,clear sky
219,Mecca,21.4267,39.8261,97.45,19,98,14.52,SA,2022-07-17 14:37:52,overcast clouds
220,Lompoc,34.6391,-120.4579,59.14,94,100,0.0,US,2022-07-17 14:40:17,fog
221,Lagoa,39.05,-27.9833,70.21,89,20,10.63,PT,2022-07-17 14:40:17,few clouds
222,Maniitsoq,65.4167,-52.9,42.69,90,100,14.32,GL,2022-07-17 14:40:18,light rain
223,Vanavara,60.34,102.2797,56.21,80,91,3.22,RU,2022-07-17 14:40:18,overcast clouds
224,Spilimbergo,46.1125,12.8969,92.8,36,0,6.91,IT,2022-07-17 14:40:18,clear sky
225,Beloha,-25.1667,45.05,69.51,63,32,16.64,MG,2022-07-17 14:40:19,scattered clouds
226,Pevek,69.7008,170.3133,30.87,92,100,32.21,RU,2022-07-17 14:40:19,light snow
227,Berbera,10.4396,45.0143,92.28,49,27,6.15,SO,2022-07-17 14:40:19,scattered clouds
228,Clyde River,70.4692,-68.5914,34.03,100,75,9.22,CA,2022-07-17 14:36:22,light intensity drizzle
229,Zhigansk,66.7697,123.3711,58.05,68,100,11.03,RU,2022-07-17 14:40:20,overcast clouds
230,Turbat,26.0023,63.044,97.5,44,99,2.1,PK,2022-07-17 14:40:20,overcast clouds
231,Vicuna,-30.0319,-70.7081,46.13,35,9,1.59,CL,2022-07-17 14:41:20,clear sky
232,Lavrentiya,65.5833,-171.0,46.2,94,100,10.13,RU,2022-07-17 14:41:21,overcast clouds
233,Flinders,-34.5833,150.8552,58.17,61,30,10.0,AU,2022-07-17 14:41:21,scattered clouds
234,Olinda,-8.0089,-34.8553,78.53,83,75,12.66,BR,2022-07-17 14:37:05,broken clouds
235,San Jose,37.3394,-121.895,69.82,77,20,0.0,US,2022-07-17 14:37:17,few clouds
236,Grindavik,63.8424,-22.4338,53.55,82,75,9.22,IS,2022-07-17 14:41:21,broken clouds
237,Inirida,3.8653,-67.9239,86.85,63,26,3.51,CO,2022-07-17 14:41:22,scattered clouds
238,Longhua,23.6137,114.1919,79.9,92,100,3.18,CN,2022-07-17 14:41:22,overcast clouds
239,Anadyr,64.75,177.4833,55.9,76,0,17.9,RU,2022-07-17 14:41:22,clear sky
240,Coahuayana,18.7333,-103.6833,78.58,81,99,2.77,MX,2022-07-17 14:41:23,overcast clouds
241,Mayumba,-3.432,10.6554,74.7,74,57,9.86,GA,2022-07-17 14:41:23,broken clouds
242,Labuhan,-6.8844,112.2051,78.84,83,100,7.49,ID,2022-07-17 14:41:23,light rain
243,Bobrovytsya,50.75,31.3833,63.23,53,65,11.63,UA,2022-07-17 14:41:24,broken clouds
244,Fortuna,40.5982,-124.1573,57.34,90,55,1.01,US,2022-07-17 14:41:24,broken clouds
245,Smoky Lake,54.1169,-112.4686,59.72,94,100,0.0,CA,2022-07-17 14:41:24,overcast clouds
246,Paamiut,61.994,-49.6678,42.12,89,100,8.81,GL,2022-07-17 14:41:25,overcast clouds
247,Longyearbyen,78.2186,15.6401,48.04,81,75,6.91,SJ,2022-07-17 14:41:25,broken clouds
248,Floriano,-6.7669,-43.0225,94.1,29,81,9.13,BR,2022-07-17 14:41:25,broken clouds
249,Charagua,-19.8,-63.2167,53.17,39,99,3.49,BO,2022-07-17 14:41:26,overcast clouds
250,Coihaique,-45.5752,-72.0662,36.21,80,75,5.75,CL,2022-07-17 14:37:02,broken clouds
251,Garowe,8.4054,48.4845,86.43,35,67,29.48,SO,2022-07-17 14:41:26,broken clouds
252,Iqaluit,63.7506,-68.5145,47.93,93,100,3.44,CA,2022-07-17 14:41:27,overcast clouds
253,Ossora,59.2353,163.0719,59.36,80,23,4.14,RU,2022-07-17 14:41:27,few clouds
254,Sao Filipe,14.8961,-24.4956,76.08,79,31,13.44,CV,2022-07-17 14:41:27,scattered clouds
255,Avera,33.194,-82.5271,83.55,58,0,2.13,US,2022-07-17 14:37:37,clear sky
256,Samarkand,39.6542,66.9597,94.42,16,0,9.22,UZ,2022-07-17 14:41:28,clear sky
257,Dingle,10.9995,122.6711,75.54,95,100,2.21,PH,2022-07-17 14:41:28,light rain
258,Pasinler,39.9803,41.6764,85.19,18,0,11.65,TR,2022-07-17 14:41:28,clear sky
259,Bridlington,54.0831,-0.1919,87.73,61,99,11.34,GB,2022-07-17 14:41:29,overcast clouds
260,Two Hills,53.7169,-111.7518,63.09,94,93,9.22,CA,2022-07-17 14:41:29,overcast clouds
